Area,Harvest Date,Harvest Area,yield (kg / ha),Season,Intensity,Latitude,Longitude
ES111,15-07-2020,6488.0,6896,SA,D,43.08895,-8.59496
ES112,15-07-2020,2063.0,6590,SA,D,43.11323,-7.572
ES113,15-07-2020,1900.0,6024,SA,D,42.19387,-7.78684
ES114,15-07-2020,5248.0,5010,SA,D,42.72535,-8.29535
ES120,15-07-2020,478.0,2600,SA,D,43.55671,-6.47065
ES130,15-07-2020,0.0,0,SA,D,43.42863,-3.89545
ES211,15-07-2020,4.0,4500,SA,D,42.9655,-2.75258
ES212,15-07-2020,101.0,3297,SA,D,43.20135,-2.13431
ES213,15-07-2020,72.0,3750,SA,D,43.30779,-2.99522
ES220,15-07-2020,16106.0,11386,SA,D,42.4273,-1.73358
ES230,15-07-2020,394.0,12165,SA,D,42.27149,-1.97541
ES241,15-07-2020,66339.0,12465,SA,D,41.86705,-0.05219
ES242,15-07-2020,1685.0,11278,SA,D,40.73827,-1.00363
ES243,15-07-2020,15839.0,12811,SA,D,41.86077,-1.07946
ES411,15-07-2020,1278.0,11900,SA,D,40.97913,-4.85813
ES412,15-07-2020,681.0,13885,SA,D,41.84807,-3.87632
ES413,15-07-2020,71837.0,12450,SA,D,42.4113,-5.68645
ES414,15-07-2020,4109.0,11820,SA,D,42.41262,-4.67343
ES415,15-07-2020,17082.0,13304,SA,D,40.99443,-5.5754
ES416,15-07-2020,51.0,10510,SA,D,41.2211,-4.41308
ES417,15-07-2020,79.0,12000,SA,D,41.58075,-2.86887
ES418,15-07-2020,5609.0,12915,SA,D,41.65781,-5.10557
ES419,15-07-2020,14856.0,14447,SA,D,41.82753,-5.74309
ES421,15-07-2020,6800.0,14400,SA,D,39.0489,-1.99314
ES422,15-07-2020,1224.0,10766,SA,D,39.26904,-4.16304
ES423,15-07-2020,656.0,12058,SA,D,39.6437,-2.38957
ES424,15-07-2020,2485.0,12969,SA,D,40.92142,-3.0692
ES425,15-07-2020,4651.0,10300,SA,D,39.97782,-4.49185
ES431,15-07-2020,23612.0,13259,SA,D,39.02606,-6.19655
ES432,15-07-2020,17384.0,13410,SA,D,39.80093,-6.27123
ES511,15-07-2020,179.0,6173,SA,D,41.90971,2.24778
ES512,15-07-2020,5989.0,13326,SA,D,42.16169,2.87706
ES513,15-07-2020,33830.0,11647,SA,D,41.74448,0.71416
ES514,15-07-2020,79.0,10000,SA,D,40.86232,0.57098
ES521,15-07-2020,141.0,11915,SA,D,38.2,-0.88411
ES522,15-07-2020,100.0,3520,SA,D,40.36508,0.07989
ES523,15-07-2020,79.0,14962,SA,D,39.3862,-0.58762
ES611,15-07-2020,3.0,5333,SA,D,37.45555,-2.25556
ES612,15-07-2020,2054.0,14193,SA,D,36.59786,-5.94015
ES613,15-07-2020,984.0,12500,SA,D,37.81599,-4.99439
ES614,15-07-2020,1993.0,11048,SA,D,37.24434,-3.75542
ES615,15-07-2020,120.0,13258,SA,D,37.75169,-7.11385
ES616,15-07-2020,654.0,11000,SA,D,38.03548,-3.86859
ES617,15-07-2020,174.0,9500,SA,D,37.10579,-4.67189
ES618,15-07-2020,2736.0,13409,SA,D,37.50512,-5.81387
ES620,15-07-2020,204.0,10127,SA,D,38.1893,-1.43707
ES111,15-07-2019,6631.0,5960,SA,D,43.08895,-8.59496
ES112,15-07-2019,2085.0,5960,SA,D,43.11323,-7.572
ES113,15-07-2019,1939.0,6512,SA,D,42.19387,-7.78684
ES114,15-07-2019,5146.0,4894,SA,D,42.72535,-8.29535
ES120,15-07-2019,431.0,2601,SA,D,43.55671,-6.47065
ES130,15-07-2019,12.0,1500,SA,D,43.42863,-3.89545
ES211,15-07-2019,4.0,4750,SA,D,42.9655,-2.75258
ES212,15-07-2019,101.0,3198,SA,D,43.20135,-2.13431
ES213,15-07-2019,72.0,3556,SA,D,43.30779,-2.99522
ES220,15-07-2019,15280.0,11501,SA,D,42.4273,-1.73358
ES230,15-07-2019,428.0,11846,SA,D,42.27149,-1.97541
ES241,15-07-2019,70546.0,11623,SA,D,41.86705,-0.05219
ES242,15-07-2019,1971.0,11500,SA,D,40.73827,-1.00363
ES243,15-07-2019,15711.0,11332,SA,D,41.86077,-1.07946
ES300,15-07-2019,5042.0,11220,SA,D,40.19028,-3.57747
ES411,15-07-2019,410.0,11607,SA,D,40.97913,-4.85813
ES412,15-07-2019,661.0,15000,SA,D,41.84807,-3.87632
ES413,15-07-2019,69019.0,12400,SA,D,42.4113,-5.68645
ES414,15-07-2019,3380.0,12036,SA,D,42.41262,-4.67343
ES415,15-07-2019,17150.0,12522,SA,D,40.99443,-5.5754
ES416,15-07-2019,77.0,11000,SA,D,41.2211,-4.41308
ES417,15-07-2019,143.0,11503,SA,D,41.58075,-2.86887
ES418,15-07-2019,5297.0,12466,SA,D,41.65781,-5.10557
ES419,15-07-2019,14019.0,14195,SA,D,41.82753,-5.74309
ES421,15-07-2019,6500.0,14500,SA,D,39.0489,-1.99314
ES422,15-07-2019,4028.0,11506,SA,D,39.26904,-4.16304
ES423,15-07-2019,662.0,11810,SA,D,39.6437,-2.38957
ES424,15-07-2019,2800.0,11980,SA,D,40.92142,-3.0692
ES425,15-07-2019,5425.0,11250,SA,D,39.97782,-4.49185
ES431,15-07-2019,27307.0,14348,SA,D,39.02606,-6.19655
ES432,15-07-2019,17557.0,15134,SA,D,39.80093,-6.27123
ES511,15-07-2019,196.0,6015,SA,D,41.90971,2.24778
ES512,15-07-2019,5912.0,10530,SA,D,42.16169,2.87706
ES513,15-07-2019,33907.0,7964,SA,D,41.74448,0.71416
ES514,15-07-2019,84.0,8940,SA,D,40.86232,0.57098
ES521,15-07-2019,137.0,10920,SA,D,38.2,-0.88411
ES522,15-07-2019,121.0,3174,SA,D,40.36508,0.07989
ES523,15-07-2019,153.0,14503,SA,D,39.3862,-0.58762
ES611,15-07-2019,8.0,3625,SA,D,37.45555,-2.25556
ES612,15-07-2019,2351.0,12036,SA,D,36.59786,-5.94015
ES613,15-07-2019,2575.0,12486,SA,D,37.81599,-4.99439
ES614,15-07-2019,2067.0,10612,SA,D,37.24434,-3.75542
ES615,15-07-2019,248.0,9435,SA,D,37.75169,-7.11385
ES616,15-07-2019,574.0,14000,SA,D,38.03548,-3.86859
ES617,15-07-2019,196.0,9418,SA,D,37.10579,-4.67189
ES618,15-07-2019,7553.0,13820,SA,D,37.50512,-5.81387
ES620,15-07-2019,128.0,9852,SA,D,38.1893,-1.43707
ES704,15-07-2019,134.5,2706,SA,D,,
ES705,15-07-2019,172.156,2706,SA,D,28.11818,-15.55454
ES706,15-07-2019,2.371,2233,SA,D,,
ES707,15-07-2019,14.174,2233,SA,D,28.7,-18.0
ES708,15-07-2019,98.344,2706,SA,D,,
ES709,15-07-2019,236.084,2233,SA,D,28.47143,-16.54286
ES111,15-07-2018,7614.0,6351,SA,D,43.08895,-8.59496
ES112,15-07-2018,2300.0,6364,SA,D,43.11323,-7.572
ES113,15-07-2018,1962.0,6010,SA,D,42.19387,-7.78684
ES114,15-07-2018,5627.0,5002,SA,D,42.72535,-8.29535
ES120,15-07-2018,455.0,2600,SA,D,43.55671,-6.47065
ES211,15-07-2018,2.0,4500,SA,D,42.9655,-2.75258
ES212,15-07-2018,103.0,3000,SA,D,43.20135,-2.13431
ES213,15-07-2018,71.0,3197,SA,D,43.30779,-2.99522
ES220,15-07-2018,13462.0,12006,SA,D,42.4273,-1.73358
ES230,15-07-2018,416.0,11613,SA,D,42.27149,-1.97541
ES241,15-07-2018,63316.0,11980,SA,D,41.86705,-0.05219
ES242,15-07-2018,1947.0,9752,SA,D,40.73827,-1.00363
ES243,15-07-2018,15595.0,11086,SA,D,41.86077,-1.07946
ES300,15-07-2018,4250.0,11817,SA,D,40.19028,-3.57747
ES411,15-07-2018,1163.0,13607,SA,D,40.97913,-4.85813
ES412,15-07-2018,647.0,11975,SA,D,41.84807,-3.87632
ES413,15-07-2018,57176.0,12500,SA,D,42.4113,-5.68645
ES414,15-07-2018,1990.0,12036,SA,D,42.41262,-4.67343
ES415,15-07-2018,15914.0,12500,SA,D,40.99443,-5.5754
ES416,15-07-2018,73.0,11000,SA,D,41.2211,-4.41308
ES417,15-07-2018,146.0,12021,SA,D,41.58075,-2.86887
ES418,15-07-2018,3837.0,12406,SA,D,41.65781,-5.10557
ES419,15-07-2018,11381.0,14022,SA,D,41.82753,-5.74309
ES421,15-07-2018,6442.0,14000,SA,D,39.0489,-1.99314
ES422,15-07-2018,3553.0,11504,SA,D,39.26904,-4.16304
ES423,15-07-2018,803.0,11716,SA,D,39.6437,-2.38957
ES424,15-07-2018,2434.0,13482,SA,D,40.92142,-3.0692
ES425,15-07-2018,5448.0,12500,SA,D,39.97782,-4.49185
ES431,15-07-2018,26134.0,13862,SA,D,39.02606,-6.19655
ES432,15-07-2018,18022.0,15083,SA,D,39.80093,-6.27123
ES511,15-07-2018,173.0,6763,SA,D,41.90971,2.24778
ES512,15-07-2018,5545.0,10477,SA,D,42.16169,2.87706
ES513,15-07-2018,31243.0,10256,SA,D,41.74448,0.71416
ES514,15-07-2018,112.0,8106,SA,D,40.86232,0.57098
ES521,15-07-2018,210.0,10948,SA,D,38.2,-0.88411
ES522,15-07-2018,154.0,3260,SA,D,40.36508,0.07989
ES523,15-07-2018,121.0,12000,SA,D,39.3862,-0.58762
ES611,15-07-2018,11.0,5545,SA,D,37.45555,-2.25556
ES612,15-07-2018,1837.0,12173,SA,D,36.59786,-5.94015
ES613,15-07-2018,1783.0,12497,SA,D,37.81599,-4.99439
ES614,15-07-2018,2182.0,9371,SA,D,37.24434,-3.75542
ES615,15-07-2018,198.0,12576,SA,D,37.75169,-7.11385
ES616,15-07-2018,362.0,14000,SA,D,38.03548,-3.86859
ES617,15-07-2018,256.0,6949,SA,D,37.10579,-4.67189
ES618,15-07-2018,4938.0,12429,SA,D,37.50512,-5.81387
ES620,15-07-2018,114.0,9500,SA,D,38.1893,-1.43707
ES704,15-07-2018,142.47,2786,SA,D,,
ES705,15-07-2018,182.358,2786,SA,D,28.11818,-15.55454
ES706,15-07-2018,2.621,2268,SA,D,,
ES707,15-07-2018,15.663,2268,SA,D,28.7,-18.0
ES708,15-07-2018,104.172,2786,SA,D,,
ES709,15-07-2018,260.887,2268,SA,D,28.47143,-16.54286
ES111,15-07-2017,7690.0,6020,SA,D,43.08895,-8.59496
ES112,15-07-2017,2255.0,6350,SA,D,43.11323,-7.572
ES113,15-07-2017,1949.0,6350,SA,D,42.19387,-7.78684
ES114,15-07-2017,5964.0,5150,SA,D,42.72535,-8.29535
ES212,15-07-2017,105.0,2800,SA,D,43.20135,-2.13431
ES213,15-07-2017,70.0,3000,SA,D,43.30779,-2.99522
ES241,15-07-2017,64805.0,13066,SA,D,41.86705,-0.05219
ES242,15-07-2017,2576.0,10516,SA,D,40.73827,-1.00363
ES243,15-07-2017,17883.0,11411,SA,D,41.86077,-1.07946
ES411,15-07-2017,1390.0,13000,SA,D,40.97913,-4.85813
ES412,15-07-2017,743.0,13000,SA,D,41.84807,-3.87632
ES413,15-07-2017,53875.0,9700,SA,D,42.4113,-5.68645
ES414,15-07-2017,170.0,8000,SA,D,42.41262,-4.67343
ES415,15-07-2017,16299.0,13000,SA,D,40.99443,-5.5754
ES416,15-07-2017,80.0,11000,SA,D,41.2211,-4.41308
ES417,15-07-2017,66.0,12000,SA,D,41.58075,-2.86887
ES418,15-07-2017,3873.0,7239,SA,D,41.65781,-5.10557
ES419,15-07-2017,11783.0,12500,SA,D,41.82753,-5.74309
ES421,15-07-2017,8000.0,13500,SA,D,39.0489,-1.99314
ES422,15-07-2017,3828.0,11501,SA,D,39.26904,-4.16304
ES423,15-07-2017,1250.0,11970,SA,D,39.6437,-2.38957
ES424,15-07-2017,2521.0,11987,SA,D,40.92142,-3.0692
ES425,15-07-2017,6074.0,10658,SA,D,39.97782,-4.49185
ES431,15-07-2017,26826.0,13008,SA,D,39.02606,-6.19655
ES432,15-07-2017,18285.0,14122,SA,D,39.80093,-6.27123
ES511,15-07-2017,121.0,6323,SA,D,41.90971,2.24778
ES512,15-07-2017,6601.0,10460,SA,D,42.16169,2.87706
ES513,15-07-2017,30618.0,9647,SA,D,41.74448,0.71416
ES514,15-07-2017,122.0,8754,SA,D,40.86232,0.57098
ES521,15-07-2017,212.0,11000,SA,D,38.2,-0.88411
ES522,15-07-2017,129.0,3884,SA,D,40.36508,0.07989
ES523,15-07-2017,252.0,11200,SA,D,39.3862,-0.58762
ES611,15-07-2017,10.0,4500,SA,D,37.45555,-2.25556
ES612,15-07-2017,1772.0,12458,SA,D,36.59786,-5.94015
ES613,15-07-2017,3126.0,11478,SA,D,37.81599,-4.99439
ES614,15-07-2017,2188.0,10583,SA,D,37.24434,-3.75542
ES615,15-07-2017,171.0,9943,SA,D,37.75169,-7.11385
ES616,15-07-2017,575.0,12000,SA,D,38.03548,-3.86859
ES617,15-07-2017,191.0,5908,SA,D,37.10579,-4.67189
ES618,15-07-2017,8158.0,12477,SA,D,37.50512,-5.81387
ES111,15-07-2016,8388.0,7720,SA,D,43.08895,-8.59496
ES112,15-07-2016,2331.0,7130,SA,D,43.11323,-7.572
ES113,15-07-2016,1951.0,7530,SA,D,42.19387,-7.78684
ES114,15-07-2016,5808.0,7960,SA,D,42.72535,-8.29535
ES120,15-07-2016,412.0,2500,SA,D,43.55671,-6.47065
ES130,15-07-2016,417.0,2600,SA,D,43.42863,-3.89545
ES212,15-07-2016,110.0,2600,SA,D,43.20135,-2.13431
ES213,15-07-2016,69.0,1958,SA,D,43.30779,-2.99522
ES220,15-07-2016,14861.0,10607,SA,D,42.4273,-1.73358
ES230,15-07-2016,487.0,9487,SA,D,42.27149,-1.97541
ES241,15-07-2016,60154.0,13407,SA,D,41.86705,-0.05219
ES242,15-07-2016,3299.0,11000,SA,D,40.73827,-1.00363
ES243,15-07-2016,19355.0,11720,SA,D,41.86077,-1.07946
ES300,15-07-2016,5772.0,12515,SA,D,40.19028,-3.57747
ES411,15-07-2016,1276.0,12450,SA,D,40.97913,-4.85813
ES412,15-07-2016,980.0,12000,SA,D,41.84807,-3.87632
ES413,15-07-2016,57860.0,9700,SA,D,42.4113,-5.68645
ES414,15-07-2016,2185.0,10018,SA,D,42.41262,-4.67343
ES415,15-07-2016,16345.0,12000,SA,D,40.99443,-5.5754
ES416,15-07-2016,105.0,10000,SA,D,41.2211,-4.41308
ES417,15-07-2016,69.0,12000,SA,D,41.58075,-2.86887
ES418,15-07-2016,6933.0,9500,SA,D,41.65781,-5.10557
ES419,15-07-2016,16300.0,12500,SA,D,41.82753,-5.74309
ES421,15-07-2016,8800.0,13500,SA,D,39.0489,-1.99314
ES422,15-07-2016,4761.0,11374,SA,D,39.26904,-4.16304
ES423,15-07-2016,759.0,12012,SA,D,39.6437,-2.38957
ES424,15-07-2016,2381.0,11992,SA,D,40.92142,-3.0692
ES425,15-07-2016,6632.0,10076,SA,D,39.97782,-4.49185
ES431,15-07-2016,29781.0,11452,SA,D,39.02606,-6.19655
ES432,15-07-2016,19547.0,12892,SA,D,39.80093,-6.27123
ES511,15-07-2016,186.0,5032,SA,D,41.90971,2.24778
ES512,15-07-2016,7499.0,11122,SA,D,42.16169,2.87706
ES513,15-07-2016,30719.0,10263,SA,D,41.74448,0.71416
ES514,15-07-2016,109.0,8817,SA,D,40.86232,0.57098
ES521,15-07-2016,310.0,9994,SA,D,38.2,-0.88411
ES522,15-07-2016,124.0,3961,SA,D,40.36508,0.07989
ES523,15-07-2016,144.0,12000,SA,D,39.3862,-0.58762
ES611,15-07-2016,6.0,3166,SA,D,37.45555,-2.25556
ES612,15-07-2016,2217.0,12563,SA,D,36.59786,-5.94015
ES613,15-07-2016,4120.0,12489,SA,D,37.81599,-4.99439
ES614,15-07-2016,2297.0,10842,SA,D,37.24434,-3.75542
ES615,15-07-2016,171.0,10000,SA,D,37.75169,-7.11385
ES616,15-07-2016,1000.0,11972,SA,D,38.03548,-3.86859
ES617,15-07-2016,282.0,6398,SA,D,37.10579,-4.67189
ES618,15-07-2016,10764.0,13127,SA,D,37.50512,-5.81387
ES620,15-07-2016,140.0,9100,SA,D,38.1893,-1.43707
ES704,15-07-2016,143.135,2559,SA,D,,
ES705,15-07-2016,183.208,2559,SA,D,28.11818,-15.55454
ES706,15-07-2016,3.119,2285,SA,D,,
ES707,15-07-2016,18.641,2285,SA,D,28.7,-18.0
ES708,15-07-2016,104.658,2559,SA,D,,
ES709,15-07-2016,310.492,2285,SA,D,28.47143,-16.54286
ES111,15-07-2015,8749.0,7740,SA,D,43.08895,-8.59496
ES112,15-07-2015,2215.0,7330,SA,D,43.11323,-7.572
ES113,15-07-2015,2009.0,7730,SA,D,42.19387,-7.78684
ES114,15-07-2015,6007.0,8240,SA,D,42.72535,-8.29535
ES120,15-07-2015,400.0,2100,SA,D,43.55671,-6.47065
ES130,15-07-2015,133.0,2600,SA,D,43.42863,-3.89545
ES211,15-07-2015,9.0,4111,SA,D,42.9655,-2.75258
ES212,15-07-2015,197.0,4200,SA,D,43.20135,-2.13431
ES213,15-07-2015,113.0,4114,SA,D,43.30779,-2.99522
ES220,15-07-2015,18235.0,10836,SA,D,42.4273,-1.73358
ES230,15-07-2015,633.0,9948,SA,D,42.27149,-1.97541
ES241,15-07-2015,51179.0,12596,SA,D,41.86705,-0.05219
ES242,15-07-2015,3474.0,10936,SA,D,40.73827,-1.00363
ES243,15-07-2015,23031.0,10303,SA,D,41.86077,-1.07946
ES300,15-07-2015,6161.0,12515,SA,D,40.19028,-3.57747
ES411,15-07-2015,1771.0,12250,SA,D,40.97913,-4.85813
ES412,15-07-2015,1046.0,10500,SA,D,41.84807,-3.87632
ES413,15-07-2015,64546.0,11900,SA,D,42.4113,-5.68645
ES414,15-07-2015,4045.0,10000,SA,D,42.41262,-4.67343
ES415,15-07-2015,18230.0,12250,SA,D,40.99443,-5.5754
ES416,15-07-2015,103.0,10000,SA,D,41.2211,-4.41308
ES417,15-07-2015,198.0,12000,SA,D,41.58075,-2.86887
ES418,15-07-2015,9079.0,12000,SA,D,41.65781,-5.10557
ES419,15-07-2015,18510.0,13000,SA,D,41.82753,-5.74309
ES421,15-07-2015,11000.0,13300,SA,D,39.0489,-1.99314
ES422,15-07-2015,5854.0,11000,SA,D,39.26904,-4.16304
ES423,15-07-2015,1132.0,12064,SA,D,39.6437,-2.38957
ES424,15-07-2015,3181.0,11894,SA,D,40.92142,-3.0692
ES425,15-07-2015,8263.0,9609,SA,D,39.97782,-4.49185
ES431,15-07-2015,35347.0,12628,SA,D,39.02606,-6.19655
ES432,15-07-2015,20508.0,13048,SA,D,39.80093,-6.27123
ES511,15-07-2015,90.0,5344,SA,D,41.90971,2.24778
ES512,15-07-2015,7725.0,10962,SA,D,42.16169,2.87706
