Area,Harvest Date,Harvest Area,yield (kg / ha),Season,Intensity,Latitude,Longitude,latitude,longitude
ES423,2015-07-15,1132.0,12064,SA,D,39.6437,-2.38957,39.6437,-2.38957
ES432,2015-07-15,20508.0,13048,SA,D,39.80093,-6.27123,39.80093,-6.27123
ES425,2015-07-15,8263.0,9609,SA,D,39.97782,-4.49185,39.97782,-4.49185
ES300,2015-07-15,6161.0,12515,SA,D,40.19028,-3.57747,40.19028,-3.57747
ES522,2015-07-15,94.0,4309,SA,D,40.36508,0.07989,40.36508,0.07989
ES242,2015-07-15,3474.0,10936,SA,D,40.73827,-1.00363,40.73827,-1.00363
ES514,2015-07-15,122.0,9000,SA,D,40.86232,0.57098,40.86232,0.57098
ES424,2015-07-15,3181.0,11894,SA,D,40.92142,-3.0692,40.92142,-3.0692
ES411,2015-07-15,1771.0,12250,SA,D,40.97913,-4.85813,40.97913,-4.85813
ES415,2015-07-15,18230.0,12250,SA,D,40.99443,-5.5754,40.99443,-5.5754
ES416,2015-07-15,103.0,10000,SA,D,41.2211,-4.41308,41.2211,-4.41308
ES417,2015-07-15,198.0,12000,SA,D,41.58075,-2.86887,41.58075,-2.86887
ES418,2015-07-15,9079.0,12000,SA,D,41.65781,-5.10557,41.65781,-5.10557
ES513,2015-07-15,33286.0,8294,SA,D,41.74448,0.71416,41.74448,0.71416
ES419,2015-07-15,18510.0,13000,SA,D,41.82753,-5.74309,41.82753,-5.74309
ES412,2015-07-15,1046.0,10500,SA,D,41.84807,-3.87632,41.84807,-3.87632
ES243,2015-07-15,23031.0,10303,SA,D,41.86077,-1.07946,41.86077,-1.07946
ES241,2015-07-15,51179.0,12596,SA,D,41.86705,-0.05219,41.86705,-0.05219
ES511,2015-07-15,90.0,5344,SA,D,41.90971,2.24778,41.90971,2.24778
ES512,2015-07-15,7725.0,10962,SA,D,42.16169,2.87706,42.16169,2.87706
ES113,2015-07-15,2009.0,7730,SA,D,42.19387,-7.78684,42.19387,-7.78684
ES230,2015-07-15,633.0,9948,SA,D,42.27149,-1.97541,42.27149,-1.97541
ES413,2015-07-15,64546.0,11900,SA,D,42.4113,-5.68645,42.4113,-5.68645
ES414,2015-07-15,4045.0,10000,SA,D,42.41262,-4.67343,42.41262,-4.67343
ES220,2015-07-15,18235.0,10836,SA,D,42.4273,-1.73358,42.4273,-1.73358
ES114,2015-07-15,6007.0,8240,SA,D,42.72535,-8.29535,42.72535,-8.29535
ES211,2015-07-15,9.0,4111,SA,D,42.9655,-2.75258,42.9655,-2.75258
ES111,2015-07-15,8749.0,7740,SA,D,43.08895,-8.59496,43.08895,-8.59496
ES112,2015-07-15,2215.0,7330,SA,D,43.11323,-7.572,43.11323,-7.572
ES212,2015-07-15,197.0,4200,SA,D,43.20135,-2.13431,43.20135,-2.13431
ES213,2015-07-15,113.0,4114,SA,D,43.30779,-2.99522,43.30779,-2.99522
ES130,2015-07-15,133.0,2600,SA,D,43.42863,-3.89545,43.42863,-3.89545
ES120,2015-07-15,400.0,2100,SA,D,43.55671,-6.47065,43.55671,-6.47065
ES705,2016-07-15,183.208,2559,SA,D,28.11818,-15.55454,28.11818,-15.55454
ES709,2016-07-15,310.492,2285,SA,D,28.47143,-16.54286,28.47143,-16.54286
ES707,2016-07-15,18.641,2285,SA,D,28.7,-18.0,28.7,-18.0
ES612,2016-07-15,2217.0,12563,SA,D,36.59786,-5.94015,36.59786,-5.94015
ES617,2016-07-15,282.0,6398,SA,D,37.10579,-4.67189,37.10579,-4.67189
ES614,2016-07-15,2297.0,10842,SA,D,37.24434,-3.75542,37.24434,-3.75542
ES611,2016-07-15,6.0,3166,SA,D,37.45555,-2.25556,37.45555,-2.25556
ES618,2016-07-15,10764.0,13127,SA,D,37.50512,-5.81387,37.50512,-5.81387
ES615,2016-07-15,171.0,10000,SA,D,37.75169,-7.11385,37.75169,-7.11385
ES613,2016-07-15,4120.0,12489,SA,D,37.81599,-4.99439,37.81599,-4.99439
ES616,2016-07-15,1000.0,11972,SA,D,38.03548,-3.86859,38.03548,-3.86859
ES620,2016-07-15,140.0,9100,SA,D,38.1893,-1.43707,38.1893,-1.43707
ES521,2016-07-15,310.0,9994,SA,D,38.2,-0.88411,38.2,-0.88411
ES431,2016-07-15,29781.0,11452,SA,D,39.02606,-6.19655,39.02606,-6.19655
ES421,2016-07-15,8800.0,13500,SA,D,39.0489,-1.99314,39.0489,-1.99314
ES422,2016-07-15,4761.0,11374,SA,D,39.26904,-4.16304,39.26904,-4.16304
ES523,2016-07-15,144.0,12000,SA,D,39.3862,-0.58762,39.3862,-0.58762
ES423,2016-07-15,759.0,12012,SA,D,39.6437,-2.38957,39.6437,-2.38957
ES432,2016-07-15,19547.0,12892,SA,D,39.80093,-6.27123,39.80093,-6.27123
ES425,2016-07-15,6632.0,10076,SA,D,39.97782,-4.49185,39.97782,-4.49185
ES300,2016-07-15,5772.0,12515,SA,D,40.19028,-3.57747,40.19028,-3.57747
ES522,2016-07-15,124.0,3961,SA,D,40.36508,0.07989,40.36508,0.07989
ES242,2016-07-15,3299.0,11000,SA,D,40.73827,-1.00363,40.73827,-1.00363
ES514,2016-07-15,109.0,8817,SA,D,40.86232,0.57098,40.86232,0.57098
ES424,2016-07-15,2381.0,11992,SA,D,40.92142,-3.0692,40.92142,-3.0692
ES411,2016-07-15,1276.0,12450,SA,D,40.97913,-4.85813,40.97913,-4.85813
ES415,2016-07-15,16345.0,12000,SA,D,40.99443,-5.5754,40.99443,-5.5754
ES416,2016-07-15,105.0,10000,SA,D,41.2211,-4.41308,41.2211,-4.41308
ES417,2016-07-15,69.0,12000,SA,D,41.58075,-2.86887,41.58075,-2.86887
ES418,2016-07-15,6933.0,9500,SA,D,41.65781,-5.10557,41.65781,-5.10557
ES513,2016-07-15,30719.0,10263,SA,D,41.74448,0.71416,41.74448,0.71416
ES419,2016-07-15,16300.0,12500,SA,D,41.82753,-5.74309,41.82753,-5.74309
ES412,2016-07-15,980.0,12000,SA,D,41.84807,-3.87632,41.84807,-3.87632
ES243,2016-07-15,19355.0,11720,SA,D,41.86077,-1.07946,41.86077,-1.07946
ES241,2016-07-15,60154.0,13407,SA,D,41.86705,-0.05219,41.86705,-0.05219
ES511,2016-07-15,186.0,5032,SA,D,41.90971,2.24778,41.90971,2.24778
ES512,2016-07-15,7499.0,11122,SA,D,42.16169,2.87706,42.16169,2.87706
ES113,2016-07-15,1951.0,7530,SA,D,42.19387,-7.78684,42.19387,-7.78684
ES230,2016-07-15,487.0,9487,SA,D,42.27149,-1.97541,42.27149,-1.97541
ES413,2016-07-15,57860.0,9700,SA,D,42.4113,-5.68645,42.4113,-5.68645
ES414,2016-07-15,2185.0,10018,SA,D,42.41262,-4.67343,42.41262,-4.67343
ES220,2016-07-15,14861.0,10607,SA,D,42.4273,-1.73358,42.4273,-1.73358
ES114,2016-07-15,5808.0,7960,SA,D,42.72535,-8.29535,42.72535,-8.29535
ES111,2016-07-15,8388.0,7720,SA,D,43.08895,-8.59496,43.08895,-8.59496
ES112,2016-07-15,2331.0,7130,SA,D,43.11323,-7.572,43.11323,-7.572
ES212,2016-07-15,110.0,2600,SA,D,43.20135,-2.13431,43.20135,-2.13431
ES213,2016-07-15,69.0,1958,SA,D,43.30779,-2.99522,43.30779,-2.99522
ES130,2016-07-15,417.0,2600,SA,D,43.42863,-3.89545,43.42863,-3.89545
ES120,2016-07-15,412.0,2500,SA,D,43.55671,-6.47065,43.55671,-6.47065
ES612,2017-07-15,1772.0,12458,SA,D,36.59786,-5.94015,36.59786,-5.94015
ES617,2017-07-15,191.0,5908,SA,D,37.10579,-4.67189,37.10579,-4.67189
ES614,2017-07-15,2188.0,10583,SA,D,37.24434,-3.75542,37.24434,-3.75542
ES611,2017-07-15,10.0,4500,SA,D,37.45555,-2.25556,37.45555,-2.25556
ES618,2017-07-15,8158.0,12477,SA,D,37.50512,-5.81387,37.50512,-5.81387
ES615,2017-07-15,171.0,9943,SA,D,37.75169,-7.11385,37.75169,-7.11385
ES613,2017-07-15,3126.0,11478,SA,D,37.81599,-4.99439,37.81599,-4.99439
ES616,2017-07-15,575.0,12000,SA,D,38.03548,-3.86859,38.03548,-3.86859
ES521,2017-07-15,212.0,11000,SA,D,38.2,-0.88411,38.2,-0.88411
ES431,2017-07-15,26826.0,13008,SA,D,39.02606,-6.19655,39.02606,-6.19655
ES421,2017-07-15,8000.0,13500,SA,D,39.0489,-1.99314,39.0489,-1.99314
ES422,2017-07-15,3828.0,11501,SA,D,39.26904,-4.16304,39.26904,-4.16304
ES523,2017-07-15,252.0,11200,SA,D,39.3862,-0.58762,39.3862,-0.58762
ES423,2017-07-15,1250.0,11970,SA,D,39.6437,-2.38957,39.6437,-2.38957
ES432,2017-07-15,18285.0,14122,SA,D,39.80093,-6.27123,39.80093,-6.27123
ES425,2017-07-15,6074.0,10658,SA,D,39.97782,-4.49185,39.97782,-4.49185
ES522,2017-07-15,129.0,3884,SA,D,40.36508,0.07989,40.36508,0.07989
ES242,2017-07-15,2576.0,10516,SA,D,40.73827,-1.00363,40.73827,-1.00363
ES514,2017-07-15,122.0,8754,SA,D,40.86232,0.57098,40.86232,0.57098
ES424,2017-07-15,2521.0,11987,SA,D,40.92142,-3.0692,40.92142,-3.0692
ES411,2017-07-15,1390.0,13000,SA,D,40.97913,-4.85813,40.97913,-4.85813
ES415,2017-07-15,16299.0,13000,SA,D,40.99443,-5.5754,40.99443,-5.5754
ES416,2017-07-15,80.0,11000,SA,D,41.2211,-4.41308,41.2211,-4.41308
ES417,2017-07-15,66.0,12000,SA,D,41.58075,-2.86887,41.58075,-2.86887
ES418,2017-07-15,3873.0,7239,SA,D,41.65781,-5.10557,41.65781,-5.10557
ES513,2017-07-15,30618.0,9647,SA,D,41.74448,0.71416,41.74448,0.71416
ES419,2017-07-15,11783.0,12500,SA,D,41.82753,-5.74309,41.82753,-5.74309
ES412,2017-07-15,743.0,13000,SA,D,41.84807,-3.87632,41.84807,-3.87632
ES243,2017-07-15,17883.0,11411,SA,D,41.86077,-1.07946,41.86077,-1.07946
ES241,2017-07-15,64805.0,13066,SA,D,41.86705,-0.05219,41.86705,-0.05219
ES511,2017-07-15,121.0,6323,SA,D,41.90971,2.24778,41.90971,2.24778
ES512,2017-07-15,6601.0,10460,SA,D,42.16169,2.87706,42.16169,2.87706
ES113,2017-07-15,1949.0,6350,SA,D,42.19387,-7.78684,42.19387,-7.78684
ES413,2017-07-15,53875.0,9700,SA,D,42.4113,-5.68645,42.4113,-5.68645
ES414,2017-07-15,170.0,8000,SA,D,42.41262,-4.67343,42.41262,-4.67343
ES114,2017-07-15,5964.0,5150,SA,D,42.72535,-8.29535,42.72535,-8.29535
ES111,2017-07-15,7690.0,6020,SA,D,43.08895,-8.59496,43.08895,-8.59496
ES112,2017-07-15,2255.0,6350,SA,D,43.11323,-7.572,43.11323,-7.572
ES212,2017-07-15,105.0,2800,SA,D,43.20135,-2.13431,43.20135,-2.13431
ES213,2017-07-15,70.0,3000,SA,D,43.30779,-2.99522,43.30779,-2.99522
ES705,2018-07-15,182.358,2786,SA,D,28.11818,-15.55454,28.11818,-15.55454
ES709,2018-07-15,260.887,2268,SA,D,28.47143,-16.54286,28.47143,-16.54286
ES707,2018-07-15,15.663,2268,SA,D,28.7,-18.0,28.7,-18.0
ES612,2018-07-15,1837.0,12173,SA,D,36.59786,-5.94015,36.59786,-5.94015
ES617,2018-07-15,256.0,6949,SA,D,37.10579,-4.67189,37.10579,-4.67189
ES614,2018-07-15,2182.0,9371,SA,D,37.24434,-3.75542,37.24434,-3.75542
ES611,2018-07-15,11.0,5545,SA,D,37.45555,-2.25556,37.45555,-2.25556
ES618,2018-07-15,4938.0,12429,SA,D,37.50512,-5.81387,37.50512,-5.81387
ES615,2018-07-15,198.0,12576,SA,D,37.75169,-7.11385,37.75169,-7.11385
ES613,2018-07-15,1783.0,12497,SA,D,37.81599,-4.99439,37.81599,-4.99439
ES616,2018-07-15,362.0,14000,SA,D,38.03548,-3.86859,38.03548,-3.86859
ES620,2018-07-15,114.0,9500,SA,D,38.1893,-1.43707,38.1893,-1.43707
ES521,2018-07-15,210.0,10948,SA,D,38.2,-0.88411,38.2,-0.88411
ES431,2018-07-15,26134.0,13862,SA,D,39.02606,-6.19655,39.02606,-6.19655
ES421,2018-07-15,6442.0,14000,SA,D,39.0489,-1.99314,39.0489,-1.99314
ES422,2018-07-15,3553.0,11504,SA,D,39.26904,-4.16304,39.26904,-4.16304
ES523,2018-07-15,121.0,12000,SA,D,39.3862,-0.58762,39.3862,-0.58762
ES423,2018-07-15,803.0,11716,SA,D,39.6437,-2.38957,39.6437,-2.38957
ES432,2018-07-15,18022.0,15083,SA,D,39.80093,-6.27123,39.80093,-6.27123
ES425,2018-07-15,5448.0,12500,SA,D,39.97782,-4.49185,39.97782,-4.49185
ES300,2018-07-15,4250.0,11817,SA,D,40.19028,-3.57747,40.19028,-3.57747
ES522,2018-07-15,154.0,3260,SA,D,40.36508,0.07989,40.36508,0.07989
ES242,2018-07-15,1947.0,9752,SA,D,40.73827,-1.00363,40.73827,-1.00363
ES514,2018-07-15,112.0,8106,SA,D,40.86232,0.57098,40.86232,0.57098
ES424,2018-07-15,2434.0,13482,SA,D,40.92142,-3.0692,40.92142,-3.0692
ES411,2018-07-15,1163.0,13607,SA,D,40.97913,-4.85813,40.97913,-4.85813
ES415,2018-07-15,15914.0,12500,SA,D,40.99443,-5.5754,40.99443,-5.5754
ES416,2018-07-15,73.0,11000,SA,D,41.2211,-4.41308,41.2211,-4.41308
ES417,2018-07-15,146.0,12021,SA,D,41.58075,-2.86887,41.58075,-2.86887
ES418,2018-07-15,3837.0,12406,SA,D,41.65781,-5.10557,41.65781,-5.10557
ES513,2018-07-15,31243.0,10256,SA,D,41.74448,0.71416,41.74448,0.71416
ES419,2018-07-15,11381.0,14022,SA,D,41.82753,-5.74309,41.82753,-5.74309
ES412,2018-07-15,647.0,11975,SA,D,41.84807,-3.87632,41.84807,-3.87632
ES243,2018-07-15,15595.0,11086,SA,D,41.86077,-1.07946,41.86077,-1.07946
ES241,2018-07-15,63316.0,11980,SA,D,41.86705,-0.05219,41.86705,-0.05219
ES511,2018-07-15,173.0,6763,SA,D,41.90971,2.24778,41.90971,2.24778
ES512,2018-07-15,5545.0,10477,SA,D,42.16169,2.87706,42.16169,2.87706
ES113,2018-07-15,1962.0,6010,SA,D,42.19387,-7.78684,42.19387,-7.78684
ES230,2018-07-15,416.0,11613,SA,D,42.27149,-1.97541,42.27149,-1.97541
ES413,2018-07-15,57176.0,12500,SA,D,42.4113,-5.68645,42.4113,-5.68645
ES414,2018-07-15,1990.0,12036,SA,D,42.41262,-4.67343,42.41262,-4.67343
ES220,2018-07-15,13462.0,12006,SA,D,42.4273,-1.73358,42.4273,-1.73358
ES114,2018-07-15,5627.0,5002,SA,D,42.72535,-8.29535,42.72535,-8.29535
ES211,2018-07-15,2.0,4500,SA,D,42.9655,-2.75258,42.9655,-2.75258
ES111,2018-07-15,7614.0,6351,SA,D,43.08895,-8.59496,43.08895,-8.59496
ES112,2018-07-15,2300.0,6364,SA,D,43.11323,-7.572,43.11323,-7.572
ES212,2018-07-15,103.0,3000,SA,D,43.20135,-2.13431,43.20135,-2.13431
ES213,2018-07-15,71.0,3197,SA,D,43.30779,-2.99522,43.30779,-2.99522
ES120,2018-07-15,455.0,2600,SA,D,43.55671,-6.47065,43.55671,-6.47065
ES705,2019-07-15,172.156,2706,SA,D,28.11818,-15.55454,28.11818,-15.55454
ES709,2019-07-15,236.084,2233,SA,D,28.47143,-16.54286,28.47143,-16.54286
ES707,2019-07-15,14.174,2233,SA,D,28.7,-18.0,28.7,-18.0
ES612,2019-07-15,2351.0,12036,SA,D,36.59786,-5.94015,36.59786,-5.94015
ES617,2019-07-15,196.0,9418,SA,D,37.10579,-4.67189,37.10579,-4.67189
ES614,2019-07-15,2067.0,10612,SA,D,37.24434,-3.75542,37.24434,-3.75542
ES611,2019-07-15,8.0,3625,SA,D,37.45555,-2.25556,37.45555,-2.25556
ES618,2019-07-15,7553.0,13820,SA,D,37.50512,-5.81387,37.50512,-5.81387
ES615,2019-07-15,248.0,9435,SA,D,37.75169,-7.11385,37.75169,-7.11385
ES613,2019-07-15,2575.0,12486,SA,D,37.81599,-4.99439,37.81599,-4.99439
ES616,2019-07-15,574.0,14000,SA,D,38.03548,-3.86859,38.03548,-3.86859
ES620,2019-07-15,128.0,9852,SA,D,38.1893,-1.43707,38.1893,-1.43707
ES521,2019-07-15,137.0,10920,SA,D,38.2,-0.88411,38.2,-0.88411
ES431,2019-07-15,27307.0,14348,SA,D,39.02606,-6.19655,39.02606,-6.19655
ES421,2019-07-15,6500.0,14500,SA,D,39.0489,-1.99314,39.0489,-1.99314
ES422,2019-07-15,4028.0,11506,SA,D,39.26904,-4.16304,39.26904,-4.16304
ES523,2019-07-15,153.0,14503,SA,D,39.3862,-0.58762,39.3862,-0.58762
ES423,2019-07-15,662.0,11810,SA,D,39.6437,-2.38957,39.6437,-2.38957
ES432,2019-07-15,17557.0,15134,SA,D,39.80093,-6.27123,39.80093,-6.27123
ES425,2019-07-15,5425.0,11250,SA,D,39.97782,-4.49185,39.97782,-4.49185
ES300,2019-07-15,5042.0,11220,SA,D,40.19028,-3.57747,40.19028,-3.57747
ES522,2019-07-15,121.0,3174,SA,D,40.36508,0.07989,40.36508,0.07989
ES242,2019-07-15,1971.0,11500,SA,D,40.73827,-1.00363,40.73827,-1.00363
ES514,2019-07-15,84.0,8940,SA,D,40.86232,0.57098,40.86232,0.57098
ES424,2019-07-15,2800.0,11980,SA,D,40.92142,-3.0692,40.92142,-3.0692
ES411,2019-07-15,410.0,11607,SA,D,40.97913,-4.85813,40.97913,-4.85813
ES415,2019-07-15,17150.0,12522,SA,D,40.99443,-5.5754,40.99443,-5.5754
ES416,2019-07-15,77.0,11000,SA,D,41.2211,-4.41308,41.2211,-4.41308
ES417,2019-07-15,143.0,11503,SA,D,41.58075,-2.86887,41.58075,-2.86887
ES418,2019-07-15,5297.0,12466,SA,D,41.65781,-5.10557,41.65781,-5.10557
ES513,2019-07-15,33907.0,7964,SA,D,41.74448,0.71416,41.74448,0.71416
ES419,2019-07-15,14019.0,14195,SA,D,41.82753,-5.74309,41.82753,-5.74309
ES412,2019-07-15,661.0,15000,SA,D,41.84807,-3.87632,41.84807,-3.87632
ES243,2019-07-15,15711.0,11332,SA,D,41.86077,-1.07946,41.86077,-1.07946
ES241,2019-07-15,70546.0,11623,SA,D,41.86705,-0.05219,41.86705,-0.05219
ES511,2019-07-15,196.0,6015,SA,D,41.90971,2.24778,41.90971,2.24778
ES512,2019-07-15,5912.0,10530,SA,D,42.16169,2.87706,42.16169,2.87706
ES113,2019-07-15,1939.0,6512,SA,D,42.19387,-7.78684,42.19387,-7.78684
ES230,2019-07-15,428.0,11846,SA,D,42.27149,-1.97541,42.27149,-1.97541
ES413,2019-07-15,69019.0,12400,SA,D,42.4113,-5.68645,42.4113,-5.68645
ES414,2019-07-15,3380.0,12036,SA,D,42.41262,-4.67343,42.41262,-4.67343
ES220,2019-07-15,15280.0,11501,SA,D,42.4273,-1.73358,42.4273,-1.73358
ES114,2019-07-15,5146.0,4894,SA,D,42.72535,-8.29535,42.72535,-8.29535
ES211,2019-07-15,4.0,4750,SA,D,42.9655,-2.75258,42.9655,-2.75258
ES111,2019-07-15,6631.0,5960,SA,D,43.08895,-8.59496,43.08895,-8.59496
ES112,2019-07-15,2085.0,5960,SA,D,43.11323,-7.572,43.11323,-7.572
ES212,2019-07-15,101.0,3198,SA,D,43.20135,-2.13431,43.20135,-2.13431
ES213,2019-07-15,72.0,3556,SA,D,43.30779,-2.99522,43.30779,-2.99522
ES130,2019-07-15,12.0,1500,SA,D,43.42863,-3.89545,43.42863,-3.89545
ES120,2019-07-15,431.0,2601,SA,D,43.55671,-6.47065,43.55671,-6.47065
ES612,2020-07-15,2054.0,14193,SA,D,36.59786,-5.94015,36.59786,-5.94015
ES617,2020-07-15,174.0,9500,SA,D,37.10579,-4.67189,37.10579,-4.67189
ES614,2020-07-15,1993.0,11048,SA,D,37.24434,-3.75542,37.24434,-3.75542
ES611,2020-07-15,3.0,5333,SA,D,37.45555,-2.25556,37.45555,-2.25556
ES618,2020-07-15,2736.0,13409,SA,D,37.50512,-5.81387,37.50512,-5.81387
ES615,2020-07-15,120.0,13258,SA,D,37.75169,-7.11385,37.75169,-7.11385
ES613,2020-07-15,984.0,12500,SA,D,37.81599,-4.99439,37.81599,-4.99439
ES616,2020-07-15,654.0,11000,SA,D,38.03548,-3.86859,38.03548,-3.86859
ES620,2020-07-15,204.0,10127,SA,D,38.1893,-1.43707,38.1893,-1.43707
ES521,2020-07-15,141.0,11915,SA,D,38.2,-0.88411,38.2,-0.88411
ES431,2020-07-15,23612.0,13259,SA,D,39.02606,-6.19655,39.02606,-6.19655
ES421,2020-07-15,6800.0,14400,SA,D,39.0489,-1.99314,39.0489,-1.99314
ES422,2020-07-15,1224.0,10766,SA,D,39.26904,-4.16304,39.26904,-4.16304
ES523,2020-07-15,79.0,14962,SA,D,39.3862,-0.58762,39.3862,-0.58762
ES423,2020-07-15,656.0,12058,SA,D,39.6437,-2.38957,39.6437,-2.38957
ES432,2020-07-15,17384.0,13410,SA,D,39.80093,-6.27123,39.80093,-6.27123
ES425,2020-07-15,4651.0,10300,SA,D,39.97782,-4.49185,39.97782,-4.49185
ES522,2020-07-15,100.0,3520,SA,D,40.36508,0.07989,40.36508,0.07989
ES242,2020-07-15,1685.0,11278,SA,D,40.73827,-1.00363,40.73827,-1.00363
ES514,2020-07-15,79.0,10000,SA,D,40.86232,0.57098,40.86232,0.57098
ES424,2020-07-15,2485.0,12969,SA,D,40.92142,-3.0692,40.92142,-3.0692
ES411,2020-07-15,1278.0,11900,SA,D,40.97913,-4.85813,40.97913,-4.85813
ES415,2020-07-15,17082.0,13304,SA,D,40.99443,-5.5754,40.99443,-5.5754
ES416,2020-07-15,51.0,10510,SA,D,41.2211,-4.41308,41.2211,-4.41308
ES417,2020-07-15,79.0,12000,SA,D,41.58075,-2.86887,41.58075,-2.86887
ES418,2020-07-15,5609.0,12915,SA,D,41.65781,-5.10557,41.65781,-5.10557
ES513,2020-07-15,33830.0,11647,SA,D,41.74448,0.71416,41.74448,0.71416
ES419,2020-07-15,14856.0,14447,SA,D,41.82753,-5.74309,41.82753,-5.74309
ES412,2020-07-15,681.0,13885,SA,D,41.84807,-3.87632,41.84807,-3.87632
ES243,2020-07-15,15839.0,12811,SA,D,41.86077,-1.07946,41.86077,-1.07946
ES241,2020-07-15,66339.0,12465,SA,D,41.86705,-0.05219,41.86705,-0.05219
ES511,2020-07-15,179.0,6173,SA,D,41.90971,2.24778,41.90971,2.24778
ES512,2020-07-15,5989.0,13326,SA,D,42.16169,2.87706,42.16169,2.87706
ES113,2020-07-15,1900.0,6024,SA,D,42.19387,-7.78684,42.19387,-7.78684
ES230,2020-07-15,394.0,12165,SA,D,42.27149,-1.97541,42.27149,-1.97541
ES413,2020-07-15,71837.0,12450,SA,D,42.4113,-5.68645,42.4113,-5.68645
ES414,2020-07-15,4109.0,11820,SA,D,42.41262,-4.67343,42.41262,-4.67343
ES220,2020-07-15,16106.0,11386,SA,D,42.4273,-1.73358,42.4273,-1.73358
ES114,2020-07-15,5248.0,5010,SA,D,42.72535,-8.29535,42.72535,-8.29535
ES211,2020-07-15,4.0,4500,SA,D,42.9655,-2.75258,42.9655,-2.75258
ES111,2020-07-15,6488.0,6896,SA,D,43.08895,-8.59496,43.08895,-8.59496
ES112,2020-07-15,2063.0,6590,SA,D,43.11323,-7.572,43.11323,-7.572
ES212,2020-07-15,101.0,3297,SA,D,43.20135,-2.13431,43.20135,-2.13431
ES213,2020-07-15,72.0,3750,SA,D,43.30779,-2.99522,43.30779,-2.99522
ES130,2020-07-15,0.0,0,SA,D,43.42863,-3.89545,43.42863,-3.89545
ES120,2020-07-15,478.0,2600,SA,D,43.55671,-6.47065,43.55671,-6.47065
